Algorithm,Iteration,rsq_train,rsq_test,Score_train,Score_test,RMSE,MAE,STD,AARD,N Bad Features
LinearRegression,1,0.974673700714795,0.9293387379303388,0.974673700714796,0.9332940099397703,5.314601784043985,3.6357092548407066,1728066.8724565285,8.048707901248092,66
RandomForestRegressor,1,0.9960929793987061,0.9429967435518224,0.9961802882181077,0.9463161776715163,4.7734224048161416,3.0857532991672016,0.7727140768702585,6.388162840374134,44
GradientBoostingRegressor,1,0.986539791472619,0.9345826070180083,0.98673646326982,0.9427019188424981,5.113598786810061,3.75132926787888,0.38638283818905816,7.88057368400684,50
SVR,1,0.5362604906495363,0.6346016673708201,0.5830448642837173,0.6507119864557422,12.08546359822879,8.004822004712027,1.3436676636434446,17.56095171083445,42
MLPRegressor,1,0.9597795257997016,0.93009198447953,0.960856235389014,0.9378542718985043,5.286199155161454,3.167265303726617,1.4708945358997683,6.3220078447298595,39
